mother_id,n_children,lat,lon,geometry,creche_mais_proxima,distancia_metros
mother_0000014,1,-4.874865999614614,-43.365287306239736,POINT (-43.365287306239736 -4.874865999614614),Centro de Educação Infantil Prefeito Aluizio Lobo Municipal,407.5151315190779
mother_0000015,2,-4.8535572741731485,-43.36795711223912,POINT (-43.36795711223912 -4.8535572741731485),Centro de Educação Infantil Marcelo Dino Municipal,1101.6475583402946
mother_0000016,1,-4.848340102342516,-43.331358273794294,POINT (-43.331358273794294 -4.848340102342516),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,2847.9068760990453
mother_0000017,1,-4.858921952892586,-43.36427563931695,POINT (-43.36427563931695 -4.858921952892586),Jardim de Infancia Gentilzinho Municipal,928.6872274571326
mother_0000018,2,-4.90453864543146,-43.34635577452669,POINT (-43.34635577452669 -4.90453864543146),Unidade Escolar Municipal Francisco Dias Brandao Municipal,393.89639837470816
mother_0000019,2,-4.871833814026852,-43.347198455456855,POINT (-43.347198455456855 -4.871833814026852),Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,988.2994955553792
mother_0000020,1,-4.885491175993993,-43.36587280757273,POINT (-43.36587280757273 -4.885491175993993),Centro de Educação Infantil Vereador Catule Municipal,861.3738050153506
mother_0000021,1,-4.8323034257934365,-43.33269672076041,POINT (-43.33269672076041 -4.8323034257934365),Centro de Educação Infantil Isabel Dolores Leao Brito Municipal,2481.592922588039
mother_0000022,1,-4.872148492157718,-43.349542698496506,POINT (-43.349542698496506 -4.872148492157718),Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,964.14537473791
mother_0000023,2,-4.81321757157242,-43.346863584354566,POINT (-43.346863584354566 -4.81321757157242),Centro de Educação Infantil Profa Maria Benedita Pereira da Silva Municipal,3320.8561215147665
mother_0000024,1,-4.866607077285965,-43.35413033790608,POINT (-43.35413033790608 -4.866607077285965),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,970.4773008937933
mother_0000025,1,-4.856787510115571,-43.3463710529046,POINT (-43.3463710529046 -4.856787510115571),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,1044.6159045679315
mother_0000026,1,-4.886969904097666,-43.347983490626085,POINT (-43.347983490626085 -4.886969904097666),Escola Municipal São Raimundo Municipal,1308.0184414438138
mother_0000027,1,-4.875037290341957,-43.34763751981486,POINT (-43.34763751981486 -4.875037290341957),Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,545.4665608152543
mother_0000028,1,-4.84560902036519,-43.360228085058814,POINT (-43.360228085058814 -4.84560902036519),Centro de Educação Infantil Vila Arias Municipal,245.12968084186676
mother_0000029,1,-4.872191839098405,-43.3358925120466,POINT (-43.3358925120466 -4.872191839098405),Centro de Educação Infantil Engenho Dagua Municipal,1457.4245900592061
mother_0000030,2,-4.847658152242649,-43.36591424305829,POINT (-43.36591424305829 -4.847658152242649),Centro de Educação Infantil Vila Arias Municipal,863.5716379049934
mother_0000031,1,-4.861046868814593,-43.33861497221431,POINT (-43.33861497221431 -4.861046868814593),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,1429.9831503034711
mother_0000032,1,-4.8633139589898295,-43.361910750372154,POINT (-43.361910750372154 -4.8633139589898295),Centro de Educação Infantil Lucrecia Carneiro Municipal,989.6906507852564
mother_0000033,1,-4.9013007425374076,-43.35490677005316,POINT (-43.35490677005316 -4.9013007425374076),Escola Municipal São Raimundo Municipal,1133.5280008856041
mother_0000034,1,-4.869930748623278,-43.35370900176977,POINT (-43.35370900176977 -4.869930748623278),Centro de Educação Infantil Lucrecia Carneiro Municipal,773.3459272969249
mother_0000035,1,-4.8720652041844295,-43.33675310682341,POINT (-43.33675310682341 -4.8720652041844295),Centro de Educação Infantil Engenho Dagua Municipal,1403.5738815418001
mother_0000036,1,-4.889339707980398,-43.35244528716382,POINT (-43.35244528716382 -4.889339707980398),Escola Municipal São Raimundo Municipal,610.3242844900104
mother_0000037,1,-4.866664455010029,-43.35899419276883,POINT (-43.35899419276883 -4.866664455010029),Centro de Educação Infantil Lucrecia Carneiro Municipal,608.9365022959394
mother_0000038,1,-4.834408454299818,-43.343790797989215,POINT (-43.343790797989215 -4.834408454299818),Centro de Educação Infantil Profa Maria Benedita Pereira da Silva Municipal,910.5451034027797
mother_0000039,2,-4.844857327269466,-43.361423018010456,POINT (-43.361423018010456 -4.844857327269466),Centro de Educação Infantil Vila Arias Municipal,115.57504371481706
mother_0000040,2,-4.838138682322299,-43.35108499253204,POINT (-43.35108499253204 -4.838138682322299),Centro de Educação Infantil Isabel Dolores Leao Brito Municipal,1221.0916637010832
mother_0000041,2,-4.865622587081541,-43.37660570687186,POINT (-43.37660570687186 -4.865622587081541),Centro de Educação Infantil Marcelo Dino Municipal,987.8034479910464
mother_0000042,1,-4.865698462938859,-43.33994673328361,POINT (-43.33994673328361 -4.865698462938859),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,875.0236601782827
mother_0000043,2,-4.857524095222099,-43.34338849885321,POINT (-43.34338849885321 -4.857524095222099),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,986.0176835706383
mother_0000044,1,-4.922018508416307,-43.35415126480102,POINT (-43.35415126480102 -4.922018508416307),Unidade Escolar Municipal Francisco Dias Brandao Municipal,3701.4059717356868
mother_0000045,1,-4.8658523525105055,-43.33800746022146,POINT (-43.33800746022146 -4.8658523525105055),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,1148.1732738473434
mother_0000046,1,-4.871632368673839,-43.32956198230664,POINT (-43.32956198230664 -4.871632368673839),Centro de Educação Infantil Engenho Dagua Municipal,1558.6445552693629
mother_0000047,1,-4.8781205261444125,-43.34636129903474,POINT (-43.34636129903474 -4.8781205261444125),Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,129.95987780208478
mother_0000048,1,-4.8910534474616,-43.355297034075114,POINT (-43.355297034075114 -4.8910534474616),Escola Municipal São Raimundo Municipal,278.79200606081605
mother_0000049,1,-4.873702874061154,-43.39567338560917,POINT (-43.39567338560917 -4.873702874061154),Escola Municipal José Gentil Rosa Municipal,1241.7436430956823
mother_0000050,1,-4.915626654250705,-43.35096312595889,POINT (-43.35096312595889 -4.915626654250705),Unidade Escolar Municipal Francisco Dias Brandao Municipal,2566.523331380602
mother_0000051,1,-4.859991521419034,-43.334033071356096,POINT (-43.334033071356096 -4.859991521419034),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,2077.100144332145
mother_0000052,2,-4.919818420198985,-43.34917678423114,POINT (-43.34917678423114 -4.919818420198985),Unidade Escolar Municipal Francisco Dias Brandao Municipal,2879.8734960637016
mother_0000053,1,-4.845131398929029,-43.33751569074084,POINT (-43.33751569074084 -4.845131398929029),Centro de Educação Infantil Isabel Dolores Leao Brito Municipal,2100.5674728199747
mother_0000054,1,-4.882980175240577,-43.34470285977867,POINT (-43.34470285977867 -4.882980175240577),Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,1209.717414704042
mother_0000055,1,-4.839254545496191,-43.359138096906975,POINT (-43.359138096906975 -4.839254545496191),Escola Comunitaria Educandario Eva Silva Magalhaes Municipal,851.4395988172033
mother_0000056,1,-4.8548770662292515,-43.330128241254336,POINT (-43.330128241254336 -4.8548770662292515),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,2429.2443061420718
mother_0000057,1,-4.846726139557982,-43.3692239650135,POINT (-43.3692239650135 -4.846726139557982),Centro de Educação Infantil Vila Arias Municipal,863.5716379049934
mother_0000058,1,-4.855338529463564,-43.34564681037034,POINT (-43.34564681037034 -4.855338529463564),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,1092.6275352843682
mother_0000059,1,-4.848275360150542,-43.357672226310726,POINT (-43.357672226310726 -4.848275360150542),Centro de Educação Infantil Elza de Sousa Fonseca Municipal,365.9530490102779
mother_0000060,2,-4.829906025666195,-43.33711594543263,POINT (-43.33711594543263 -4.829906025666195),Centro de Educação Infantil Profa Maria Benedita Pereira da Silva Municipal,2155.465435258114
mother_0000061,1,-4.8429030490517855,-43.34802395683719,POINT (-43.34802395683719 -4.8429030490517855),Centro de Educação Infantil Isabel Dolores Leao Brito Municipal,301.2706098233253
mother_0000062,1,-4.870643915387385,-43.3373744148732,POINT (-43.3373744148732 -4.870643915387385),Centro de Educação Infantil Engenho Dagua Municipal,1400.018908623529
mother_0000063,1,-4.857303071363831,-43.33704380399268,POINT (-43.33704380399268 -4.857303071363831),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,1739.9259310326902
mother_0000064,1,-4.869823072624564,-43.360701124147965,POINT (-43.360701124147965 -4.869823072624564),Centro de Educação Infantil Lucrecia Carneiro Municipal,115.84852033581944
mother_0000065,1,-4.867436383128395,-43.32708557223868,POINT (-43.32708557223868 -4.867436383128395),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,2447.3013375573455
mother_0000066,1,-4.851324959175424,-43.34605711717538,POINT (-43.34605711717538 -4.851324959175424),Centro de Educação Infantil Elza de Sousa Fonseca Municipal,1333.7117754759702
mother_0000067,1,-4.870112121014407,-43.34560246578524,POINT (-43.34560246578524 -4.870112121014407),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,940.6609643863276
mother_0000068,1,-4.8724861351679865,-43.353823487976875,POINT (-43.353823487976875 -4.8724861351679865),Escola Comunitaria Teresinha Brito Pinheiro Municipal,820.0337354984599
mother_0000069,1,-4.875194621750189,-43.343306083262846,POINT (-43.343306083262846 -4.875194621750189),Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,746.0971010543939
mother_0000070,1,-4.845538678208293,-43.33563883324287,POINT (-43.33563883324287 -4.845538678208293),Centro de Educação Infantil Isabel Dolores Leao Brito Municipal,2100.5674728199747
mother_0000071,1,-4.859038734155355,-43.359945803247285,POINT (-43.359945803247285 -4.859038734155355),Jardim de Infancia Gentilzinho Municipal,706.9772286788279
mother_0000072,1,-4.875976062709267,-43.35646056623394,POINT (-43.35646056623394 -4.875976062709267),Escola Comunitaria Teresinha Brito Pinheiro Municipal,576.3068144824326
mother_0000073,1,-4.844140675280253,-43.348962337802845,POINT (-43.348962337802845 -4.844140675280253),Centro de Educação Infantil Isabel Dolores Leao Brito Municipal,813.0916853923933
mother_0000074,1,-4.861223602703333,-43.34285290959553,POINT (-43.34285290959553 -4.861223602703333),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,654.7048084460748
mother_0000075,1,-4.873263632454087,-43.35151980859821,POINT (-43.35151980859821 -4.873263632454087),Escola Comunitaria Teresinha Brito Pinheiro Municipal,1045.301218147033
mother_0000076,2,-4.896298059474492,-43.35031791550356,POINT (-43.35031791550356 -4.896298059474492),Escola Municipal São Raimundo Municipal,882.269277436061
mother_0000077,1,-4.871461126650068,-43.3289838651267,POINT (-43.3289838651267 -4.871461126650068),Centro de Educação Infantil Engenho Dagua Municipal,1558.6445552693629
mother_0000078,1,-4.91941311639575,-43.344402893525476,POINT (-43.344402893525476 -4.91941311639575),Unidade Escolar Municipal Francisco Dias Brandao Municipal,2494.1268206115474
mother_0000079,1,-4.883486626625772,-43.36802706391815,POINT (-43.36802706391815 -4.883486626625772),Centro de Educação Infantil Vereador Catule Municipal,497.54219570707824
mother_0000080,1,-4.8565526911860575,-43.34795347109182,POINT (-43.34795347109182 -4.8565526911860575),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,816.2763405856105
mother_0000081,2,-4.853676959585949,-43.37632166917689,POINT (-43.37632166917689 -4.853676959585949),Centro de Educação Infantil Marcelo Dino Municipal,1465.2039827300387
mother_0000082,1,-4.880155862935425,-43.34804472352088,POINT (-43.34804472352088 -4.880155862935425),Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,524.273430044326
mother_0000083,3,-4.865058837044121,-43.35161329059355,POINT (-43.35161329059355 -4.865058837044121),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,711.6709740632135
mother_0000084,1,-4.858807984863083,-43.34281150597483,POINT (-43.34281150597483 -4.858807984863083),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,894.6097337635568
mother_0000085,1,-4.859230443337363,-43.3408120858042,POINT (-43.3408120858042 -4.859230443337363),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,1396.6840189603918
mother_0000086,1,-4.854528161326953,-43.36061579795748,POINT (-43.36061579795748 -4.854528161326953),Jardim de Infancia Gentilzinho Municipal,360.27832783217684
mother_0000087,1,-4.89117474140715,-43.318918341418495,POINT (-43.318918341418495 -4.89117474140715),Centro de Educação Infantil Vila Paraiso Municipal,1033.6644313911581
mother_0000088,1,-4.868720669892033,-43.35448925351486,POINT (-43.35448925351486 -4.868720669892033),Centro de Educação Infantil Lucrecia Carneiro Municipal,658.3413154596662
mother_0000089,1,-4.865748006432237,-43.34450241036394,POINT (-43.34450241036394 -4.865748006432237),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,467.97841590295434
mother_0000090,1,-4.837469695651657,-43.33595282674758,POINT (-43.33595282674758 -4.837469695651657),Centro de Educação Infantil Isabel Dolores Leao Brito Municipal,1796.595020197949
mother_0000091,2,-4.869594773499459,-43.38011928240467,POINT (-43.38011928240467 -4.869594773499459),Escola Municipal José Gentil Rosa Municipal,871.0681863507494
mother_0000092,1,-4.868871307441011,-43.325080036630744,POINT (-43.325080036630744 -4.868871307441011),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,2676.551911716549
mother_0000093,1,-4.864856098640828,-43.36776242718412,POINT (-43.36776242718412 -4.864856098640828),Centro de Educação Infantil Marcelo Dino Municipal,574.7913434068721
mother_0000094,1,-4.868481898054724,-43.37592571431296,POINT (-43.37592571431296 -4.868481898054724),Centro de Educação Infantil Rosina Municipal,1186.3120142252744
mother_0000095,1,-4.876740008358111,-43.34817858659908,POINT (-43.34817858659908 -4.876740008358111),Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,419.72507302279587
mother_0000096,1,-4.850140056726433,-43.37294521302705,POINT (-43.37294521302705 -4.850140056726433),Centro de Educação Infantil Marcelo Dino Municipal,1135.8378811958162
mother_0000097,1,-4.870201373980971,-43.392697405447805,POINT (-43.392697405447805 -4.870201373980971),Escola Municipal José Gentil Rosa Municipal,784.7978562311009
mother_0000098,1,-4.849665718400858,-43.367353469286535,POINT (-43.367353469286535 -4.849665718400858),Centro de Educação Infantil Vila Arias Municipal,863.5716379049934
mother_0000099,1,-4.862100110695998,-43.33467805249029,POINT (-43.33467805249029 -4.862100110695998),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,1800.2416592569868
mother_0000100,1,-4.885944286932776,-43.366711555233934,POINT (-43.366711555233934 -4.885944286932776),Centro de Educação Infantil Vereador Catule Municipal,885.0119324551672
mother_0000101,1,-4.851024504487155,-43.36778995902044,POINT (-43.36778995902044 -4.851024504487155),Centro de Educação Infantil Marcelo Dino Municipal,1101.6475583402946
mother_0000102,1,-4.841976192245572,-43.36095758326079,POINT (-43.36095758326079 -4.841976192245572),Centro de Educação Infantil Vila Arias Municipal,350.6473114226169
mother_0000103,1,-4.889406078387238,-43.36166569170686,POINT (-43.36166569170686 -4.889406078387238),Escola Municipal São Raimundo Municipal,931.2153507897268
mother_0000104,1,-4.869954427071295,-43.3875578683745,POINT (-43.3875578683745 -4.869954427071295),Escola Municipal José Gentil Rosa Municipal,229.2110237315373
mother_0000105,3,-4.855266685847672,-43.350975034230075,POINT (-43.350975034230075 -4.855266685847672),Jardim de Infancia Gentilzinho Municipal,1016.9051952432616
mother_0000106,1,-4.8422572370272325,-43.33219129764965,POINT (-43.33219129764965 -4.8422572370272325),Centro de Educação Infantil Isabel Dolores Leao Brito Municipal,2359.8543928998715
mother_0000107,1,-4.820478386303037,-43.34636866929205,POINT (-43.34636866929205 -4.820478386303037),Centro de Educação Infantil Profa Maria Benedita Pereira da Silva Municipal,2661.3450330078663
mother_0000108,1,-4.886936597763451,-43.35055258235186,POINT (-43.35055258235186 -4.886936597763451),Escola Municipal São Raimundo Municipal,1057.6982353169708
mother_0000109,1,-4.88225115909056,-43.378557112230666,POINT (-43.378557112230666 -4.88225115909056),Centro de Educação Infantil Rosina Municipal,1471.8688733828758
mother_0000110,1,-4.877890905363691,-43.339600100445516,POINT (-43.339600100445516 -4.877890905363691),Centro de Educação Infantil Engenho Dagua Municipal,872.5586131671882
mother_0000111,1,-4.879885762316541,-43.34798344895763,POINT (-43.34798344895763 -4.879885762316541),Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,524.273430044326
mother_0000112,1,-4.867238879281138,-43.340524908492576,POINT (-43.340524908492576 -4.867238879281138),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,916.6096671293932
mother_0000113,1,-4.864345091619515,-43.34198385877084,POINT (-43.34198385877084 -4.864345091619515),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,712.4937999087015
mother_0000114,1,-4.87141959844508,-43.35275604572432,POINT (-43.35275604572432 -4.87141959844508),Escola Comunitaria Teresinha Brito Pinheiro Municipal,834.1040871552107
mother_0000115,1,-4.8395441445645035,-43.34548926048075,POINT (-43.34548926048075 -4.8395441445645035),Centro de Educação Infantil Isabel Dolores Leao Brito Municipal,705.7608850094906
mother_0000116,1,-4.8749088770523645,-43.34194594880689,POINT (-43.34194594880689 -4.8749088770523645),Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,1011.8778636159835
mother_0000117,1,-4.8736858871640285,-43.3495071816912,POINT (-43.3495071816912 -4.8736858871640285),Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,825.5991432180808
mother_0000118,1,-4.86181132559611,-43.344778736018164,POINT (-43.344778736018164 -4.86181132559611),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,364.53487754524036
mother_0000119,1,-4.824864217409188,-43.355459587425024,POINT (-43.355459587425024 -4.824864217409188),Centro de Educação Infantil Profa Maria Benedita Pereira da Silva Municipal,1530.3891249675967
mother_0000120,1,-4.894264142456328,-43.32069805286238,POINT (-43.32069805286238 -4.894264142456328),Centro de Educação Infantil Vila Paraiso Municipal,793.1410957158778
mother_0000121,1,-4.825511205063687,-43.34205725262949,POINT (-43.34205725262949 -4.825511205063687),Centro de Educação Infantil Profa Maria Benedita Pereira da Silva Municipal,2091.2515551864685
mother_0000122,2,-4.85714895759185,-43.367194247295274,POINT (-43.367194247295274 -4.85714895759185),Jardim de Infancia Gentilzinho Municipal,1257.2107073514426
mother_0000123,2,-4.881655240565434,-43.371604017025,POINT (-43.371604017025 -4.881655240565434),Centro de Educação Infantil Vereador Catule Municipal,660.0052470187868
mother_0000124,1,-4.825129211284184,-43.361144314067865,POINT (-43.361144314067865 -4.825129211284184),Escola Comunitaria Educandario Eva Silva Magalhaes Municipal,1385.563694272079
mother_0000125,1,-4.871332969169926,-43.35553881850937,POINT (-43.35553881850937 -4.871332969169926),Escola Comunitaria Teresinha Brito Pinheiro Municipal,532.1529348578905
mother_0000126,1,-4.874586438908848,-43.337820699377566,POINT (-43.337820699377566 -4.874586438908848),Centro de Educação Infantil Engenho Dagua Municipal,1152.5468231552552
mother_0000127,1,-4.858282691179863,-43.343684503666516,POINT (-43.343684503666516 -4.858282691179863),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,894.6097337635568
mother_0000128,1,-4.838415972861421,-43.33472049218663,POINT (-43.33472049218663 -4.838415972861421),Centro de Educação Infantil Isabel Dolores Leao Brito Municipal,2111.8457501815556
mother_0000129,1,-4.881378826333005,-43.35278357719787,POINT (-43.35278357719787 -4.881378826333005),Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,1125.4729556555096
mother_0000130,1,-4.840435492242936,-43.35581039008606,POINT (-43.35581039008606 -4.840435492242936),Centro de Educação Infantil Profa Maria Benedita Pereira da Silva Municipal,989.0917604832993
mother_0000131,1,-4.867469172913964,-43.35205028303136,POINT (-43.35205028303136 -4.867469172913964),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,952.0986490151655
mother_0000132,1,-4.913045828873529,-43.342940941178526,POINT (-43.342940941178526 -4.913045828873529),Unidade Escolar Municipal Francisco Dias Brandao Municipal,1609.0060730091795
mother_0000133,1,-4.8624358258314775,-43.3412530820659,POINT (-43.3412530820659 -4.8624358258314775),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,888.6003024880388
mother_0000134,1,-4.883146794843501,-43.35598859840197,POINT (-43.35598859840197 -4.883146794843501),Escola Municipal São Raimundo Municipal,1070.1750534072098
mother_0000135,2,-4.915808889664346,-43.352771129536016,POINT (-43.352771129536016 -4.915808889664346),Unidade Escolar Municipal Francisco Dias Brandao Municipal,2827.251151168855
mother_0000136,1,-4.866275053697839,-43.328584253773656,POINT (-43.328584253773656 -4.866275053697839),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,2340.055696298194
mother_0000137,1,-4.865508941561562,-43.33039862775871,POINT (-43.33039862775871 -4.865508941561562),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,2103.354930707619
mother_0000138,1,-4.874257105137241,-43.3737142537492,POINT (-43.3737142537492 -4.874257105137241),Centro de Educação Infantil Rosina Municipal,295.8317472769796
mother_0000139,1,-4.853341256261936,-43.363424151251635,POINT (-43.363424151251635 -4.853341256261936),Jardim de Infancia Gentilzinho Municipal,831.3862910300519
mother_0000140,1,-4.849188343687155,-43.34272928916351,POINT (-43.34272928916351 -4.849188343687155),Centro de Educação Infantil Isabel Dolores Leao Brito Municipal,1456.80401193524
mother_0000141,1,-4.864643023932656,-43.36816150517791,POINT (-43.36816150517791 -4.864643023932656),Centro de Educação Infantil Marcelo Dino Municipal,574.7913434068721
mother_0000142,1,-4.922934505923103,-43.35150932389126,POINT (-43.35150932389126 -4.922934505923103),Unidade Escolar Municipal Francisco Dias Brandao Municipal,3421.1733089742243
mother_0000143,1,-4.880154223108175,-43.363758757233356,POINT (-43.363758757233356 -4.880154223108175),Centro de Educação Infantil Prefeito Aluizio Lobo Municipal,325.08007801815154
mother_0000144,1,-4.866180095866852,-43.33828131076221,POINT (-43.33828131076221 -4.866180095866852),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,1177.8061800425135
mother_0000145,1,-4.875809118504441,-43.34223024499727,POINT (-43.34223024499727 -4.875809118504441),Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,926.6177387366652
mother_0000146,1,-4.837785576471354,-43.33647639830026,POINT (-43.33647639830026 -4.837785576471354),Centro de Educação Infantil Isabel Dolores Leao Brito Municipal,1796.595020197949
mother_0000147,1,-4.886487644492511,-43.3503829517975,POINT (-43.3503829517975 -4.886487644492511),Escola Municipal São Raimundo Municipal,1141.0487434329063
mother_0000148,1,-4.866953431304073,-43.35579141371729,POINT (-43.35579141371729 -4.866953431304073),Centro de Educação Infantil Lucrecia Carneiro Municipal,766.3748364486187
mother_0000149,2,-4.857712416812272,-43.33872886227276,POINT (-43.33872886227276 -4.857712416812272),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,1445.1555221032768
mother_0000150,1,-4.885142973828605,-43.349598820685564,POINT (-43.349598820685564 -4.885142973828605),Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,1186.1990146884195
mother_0000151,1,-4.900655262059291,-43.35221666380731,POINT (-43.35221666380731 -4.900655262059291),Unidade Escolar Municipal Francisco Dias Brandao Municipal,751.449233628781
mother_0000152,1,-4.8612734386673235,-43.3341761765731,POINT (-43.3341761765731 -4.8612734386673235),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,1850.8529992674617
mother_0000153,1,-4.860180022812463,-43.34607967352052,POINT (-43.34607967352052 -4.860180022812463),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,685.4438961727137
mother_0000154,1,-4.858511353713696,-43.33808396921654,POINT (-43.33808396921654 -4.858511353713696),Centro de Educação Infantil Professora Francileide Leal Moreira Municipal,1498.1340432825612
mother_0000155,1,-4.881443246715015,-43.34465147607867,POINT (-43.34465147607867 -4.881443246715015),Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,682.2828549639452
mother_0000156,1,-4.878312188541682,-43.34554405941678,POINT (-43.34554405941678 -4.878312188541682),Centro de Educação Infantil Maria das Neves Coutinho Mae Preta Municipal,273.9406303601503
mother_0000157,2,-4.873315686080188,-43.355710274065515,POINT (-43.355710274065515 -4.873315686080188),Escola Comunitaria Teresinha Brito Pinheiro Municipal,273.07652432768066
mother_0000158,1,-4.879489237007892,-43.369587015820706,POINT (-43.369587015820706 -4.879489237007892),Centro de Educação Infantil Vereador Catule Municipal,260.2335670472296
mother_0000159,3,-4.894576137563197,-43.35558951046031,POINT (-43.35558951046031 -4.894576137563197),Escola Municipal São Raimundo Municipal,358.55726395152965
mother_0000160,3,-4.862684383448293,-43.358308100531296,POINT (-43.358308100531296 -4.862684383448293),Jardim de Infancia Gentilzinho Municipal,1146.6243712498401
mother_0000161,1,-4.844777052048123,-43.360048743960526,POINT (-43.360048743960526 -4.844777052048123),Centro de Educação Infantil Vila Arias Municipal,251.573132270523
mother_0000162,1,-4.8471179572817,-43.35799611749691,POINT (-43.35799611749691 -4.8471179572817),Centro de Educação Infantil Elza de Sousa Fonseca Municipal,412.96249534516437
mother_0000163,1,-4.852616471819891,-43.36684935787132,POINT (-43.36684935787132 -4.852616471819891),Jardim de Infancia Gentilzinho Municipal,964.0717467946918
